%1-Time (s)	2-Velocity (m/s)	3-Yaw (rad)	4-ax	4-ay	4-az
98.1	0.014320650138	0.018	0.184	-0.048	4.994
98.2	0.0161107294261	0.014	0.192	-0.037	4.987
98.3	0.0141788609326	0.018	0.156	-0.053	4.976
98.4	0.0141788609326	0.023	0.139	-0.062	4.981
98.5	0.0141788609326	0.02	0.175	-0.042	5.005
98.6	0.014320650138	0.015	0.201	-0.042	5.003
98.7	0.014320650138	0.016	0.167	-0.054	4.98
98.8	0.0159512199461	0.016	0.145	-0.06	4.988
98.9	0.014320650138	0.026	0.178	-0.039	4.99
99.0	0.0106341466308	0.023	0.175	-0.054	4.991
99.1	0.0	0.011	0.172	-0.053	4.983
99.2	0.0	0.025	0.167	-0.042	4.994
99.3	0.0	0.02	0.163	-0.045	4.975
99.4	0.0	0.02	0.163	-0.046	4.968
99.51	0.0	0.019	0.167	-0.038	5.006
99.6	0.0	0.012	0.172	-0.043	4.984
99.7	0.0	0.005	0.165	-0.043	4.984
99.8	0.0	0.013	0.164	-0.036	4.992
99.9	0.0	0.024	0.175	-0.037	4.983
100.0	0.0	0.023	0.176	-0.038	4.981
100.1	0.0	0.011	0.167	-0.038	4.977
100.2	0.0	0.018	0.174	-0.036	4.969
100.3	0.0	0.011	0.171	-0.042	4.969
100.4	0.0	0.006	0.16	-0.042	4.975
100.52	0.0	0.007	0.159	-0.036	4.981
100.6	0.0	0.006	0.17	-0.042	4.984
100.87	0.0	0.006	0.162	-0.033	4.99
100.88	0.0	0.006	0.165	-0.033	4.987
100.9	0.0	0.019	0.164	-0.038	4.987
101.0	0.0	0.025	0.166	-0.038	4.985
101.1	0.0	0.025	0.166	-0.034	4.977
101.2	0.0	0.019	0.165	-0.036	4.975
101.3	0.0	0.02	0.157	-0.032	4.972
101.4	0.0	0.019	0.166	-0.033	4.98
101.5	0.0	0.017	0.178	-0.04	4.983
101.6	0.0	0.011	0.18	-0.041	5.01
101.7	0.0	0.012	0.167	-0.033	5.013
101.81	0.0	0.035	-0.02	0.084	4.576
101.9	0.0	0.05	-0.015	-0.093	4.87
102.0	0.0	0.028	0.162	-0.013	4.779
102.1	0.0	0.01	0.185	-0.095	4.916
102.2	0.0	0.013	0.152	-0.032	4.911
102.3	0.0	0.015	0.159	-0.053	4.981
102.41	0.0	0.013	0.172	-0.014	4.989
102.5	0.0	0.012	0.17	-0.028	5.018
102.78	0.0	-0.002	0.18	-0.015	4.983
102.82	0.0	-0.002	0.167	-0.003	4.976
102.82	0.0	-0.001	0.167	-0.009	4.997
102.9	0.0	-0.001	0.172	-0.023	4.993
103.0	0.0	-0.001	0.172	-0.021	4.981
103.1	0.0	-0.0	0.165	-0.022	4.991
103.2	0.0	0.011	0.18	-0.023	4.992
103.3	0.0	0.003	0.185	-0.023	4.976
103.4	0.0	0.01	0.177	-0.019	4.988
103.5	0.0	0.01	0.177	-0.015	4.977
103.63	0.0	0.011	0.17	-0.019	5.002
103.7	0.0	0.012	0.167	-0.015	4.991
103.8	0.0	0.018	0.176	-0.014	4.983
103.9	0.0	0.011	0.181	-0.019	4.985
104.0	0.0	0.017	0.175	-0.017	4.975
104.1	0.0	0.011	0.171	-0.011	4.981
104.2	0.0	0.016	0.179	-0.022	4.98
104.3	0.0	0.01	0.176	-0.014	4.981
104.4	0.0	0.017	0.174	-0.014	4.98
104.64	0.0	-0.003	0.232	-0.001	4.986
104.66	0.0	-0.012	0.263	0.004	4.93
104.7	0.0	-0.004	0.175	0.011	4.926
104.8	0.0	-0.006	0.156	-0.005	4.998
104.9	0.0	-0.004	0.256	0.04	4.914
105.0	0.0	0.005	0.217	-0.051	5.023
105.1	0.0	-0.004	0.27	-0.02	4.955
105.2	0.0	-0.013	0.247	-0.022	4.948
105.3	0.0	-0.025	0.261	-0.034	5.003
105.4	0.0	-0.004	0.179	0.057	4.989
105.5	0.0	-0.016	0.304	0.199	4.753
105.61	0.0	-0.01	0.235	-0.062	5.04
105.7	0.0	0.0	0.217	0.026	4.936
105.8	0.0	-0.005	0.221	-0.011	5.022
105.9	0.0	0.007	0.175	-0.022	5.055
106.0	0.0	0.005	0.165	0.002	5.012
106.1	0.0	0.013	0.159	-0.017	5.028
106.2	0.0	0.013	0.163	-0.004	5.0
106.3	0.0	0.013	0.161	-0.009	5.001
106.4	0.0	0.014	0.159	-0.012	5.001
106.5	0.0	0.013	0.166	-0.008	4.984
106.6	0.0	0.012	0.169	-0.018	4.995
106.7	0.0	0.011	0.175	-0.009	4.978
106.8	0.0	0.01	0.18	-0.016	4.982
106.9	0.0	0.01	0.174	-0.009	4.983
107.0	0.0	0.022	0.178	-0.011	4.987
107.1	0.0	0.016	0.173	-0.01	4.981
107.2	0.0	0.016	0.175	-0.006	4.979
107.3	0.0	0.017	0.171	-0.01	4.979
107.4	0.0	0.004	0.174	-0.01	4.976
107.5	0.0	0.005	0.173	-0.007	4.986
107.6	0.0	0.011	0.171	-0.004	4.98
107.7	0.0	0.01	0.176	-0.011	4.984
