%1-PWM	2-Yaw (rad)
280	5.995
281	5.991
282	6.001
283	6.002
284	6.002
285	6.011
286	6.01
287	6.019
288	6.002
289	6.003
290	6.006
291	6.014
292	6.017
293	6.018
294	6.029
295	5.996
296	6.019
297	6.012
298	6.012
299	6.012
300	6.025
301	6.02
302	6.003
303	6.019
304	6.022
305	6.043
306	6.021
307	6.021
308	6.018
309	6.02
310	6.042
311	6.037
312	6.04
313	6.034
314	6.049
315	6.049
316	6.046
317	6.062
318	6.056
319	6.061
320	6.063
321	6.066
322	6.068
323	6.055
324	6.06
325	6.072
326	6.089
327	6.07
328	6.086
329	6.094
330	6.084
331	6.092
332	6.099
333	6.085
334	6.087
335	6.111
336	6.103
337	6.114
338	6.108
339	6.112
340	6.101
341	6.121
342	6.115
343	6.118
344	6.119
345	6.126
346	6.131
347	6.132
348	6.128
349	6.134
350	6.153
351	6.137
352	6.155
353	6.155
354	6.144
355	6.146
356	6.137
357	6.166
358	6.158
359	6.164
360	6.166
361	6.158
362	6.178
363	6.185
364	6.177
365	6.187
366	6.175
367	6.176
368	6.191
369	6.203
370	6.198
371	6.207
372	6.206
373	6.204
374	6.205
375	6.213
376	6.214
377	6.213
378	6.234
379	6.207
380	6.235
381	6.237
382	6.236
383	6.229
384	6.243
385	6.245
386	6.25
387	6.254
388	6.254
389	6.252
390	6.245
391	6.239
392	6.266
393	6.254
394	6.273
395	6.264
396	6.267
397	6.277
398	6.277
399	6.279
400	6.282
401	6.28
402	0.012
403	0.012
404	0.023
405	0.042
406	0.033
407	0.038
408	0.029
409	0.034
410	0.034
411	0.05
412	0.05
413	0.039
414	0.063
415	0.051
416	0.047
417	0.059
418	0.04
419	0.052
420	0.069
421	0.068
422	0.07
423	0.075
424	0.069
425	0.096
426	0.091
427	0.091
428	0.114
429	0.111
430	0.115
431	0.117
432	0.107
433	0.106
434	0.126
435	0.114
436	0.118
437	0.134
438	0.127
439	0.128
440	0.125
441	0.133
442	0.136
443	0.146
444	0.14
445	0.148
446	0.134
447	0.143
448	0.156
449	0.167
450	0.169
451	0.18
452	0.204
453	0.206
454	0.174
455	0.154
456	0.214
457	0.193
458	0.2
459	0.178
460	0.216
461	0.199
462	0.204
463	0.215
464	0.238
465	0.225
466	0.241
467	0.25
468	0.237
469	0.248
470	0.247
471	0.247
472	0.242
473	0.276
474	0.278
475	0.245
476	0.27
477	0.303
478	0.282
479	0.282
480	0.284
481	0.285
482	0.309
483	0.292
484	0.293
485	0.32
486	0.318
487	0.321
488	0.327
489	0.304
490	0.306
491	0.337
492	0.321
493	0.334
494	0.332
495	0.339
496	0.335
497	0.347
498	0.346
499	0.346
500	0.32
501	0.343
502	0.342
503	0.326
504	0.355
505	0.354
506	0.332
507	0.317
508	0.333
509	0.332
510	0.33
511	0.331
512	0.341
513	0.331
514	0.341
515	0.351
516	0.355
517	0.326
518	0.338
519	0.345
520	0.323
521	0.332
522	0.322
523	0.341
524	0.318
525	0.35
526	0.348
527	0.322
528	0.329
529	0.356
530	0.35
531	0.334
532	0.329
533	0.351
534	0.35
535	0.345
536	0.365
537	0.351
538	0.349
539	0.359
540	0.344
541	0.342
542	0.343
543	0.35
544	0.35
545	0.362
546	0.331
547	0.346
548	0.335
549	0.333
550	0.337
