%1-PWM	2-Yaw (rad)
280	6.016
281	6.02
282	6.026
283	6.025
284	6.031
285	6.031
286	6.029
287	6.028
288	6.029
289	6.037
290	6.036
291	6.035
292	6.023
293	6.023
294	6.023
295	6.031
296	6.051
297	6.05
298	6.034
299	6.055
300	6.036
301	6.037
302	6.036
303	6.05
304	6.053
305	6.053
306	6.057
307	6.064
308	6.064
309	6.069
310	6.065
311	6.064
312	6.063
313	6.083
314	6.081
315	6.07
316	6.081
317	6.082
318	6.094
319	6.086
320	6.084
321	6.091
322	6.094
323	6.093
324	6.099
325	6.097
326	6.114
327	6.109
328	6.113
329	6.103
330	6.103
331	6.117
332	6.117
333	6.126
334	6.131
335	6.119
336	6.125
337	6.133
338	6.128
339	6.131
340	6.124
341	6.127
342	6.136
343	6.139
344	6.139
345	6.158
346	6.156
347	6.135
348	6.151
349	6.151
350	6.163
351	6.17
352	6.174
353	6.174
354	6.17
355	6.169
356	6.17
357	6.185
358	6.183
359	6.188
360	6.192
361	6.192
362	6.184
363	6.185
364	6.191
365	6.212
366	6.204
367	6.228
368	6.213
369	6.219
370	6.221
371	6.222
372	6.249
373	6.222
374	6.229
375	6.236
376	6.245
377	6.255
378	6.258
379	6.258
380	6.258
381	0.001
382	6.275
383	6.269
384	6.279
385	0.003
386	0.001
387	0.003
388	0.018
389	0.018
390	0.005
391	0.006
392	0.006
393	0.014
394	0.016
395	0.016
396	0.032
397	0.032
398	0.014
399	0.044
400	0.052
401	0.041
402	0.064
403	0.057
404	0.054
405	0.054
406	0.073
407	0.046
408	0.046
409	0.082
410	0.073
411	0.073
412	0.095
413	0.076
414	0.098
415	0.078
416	0.078
417	0.078
418	0.093
419	0.098
420	0.107
421	0.107
422	0.114
423	0.111
424	0.099
425	0.129
426	0.131
427	0.123
428	0.132
429	0.143
430	0.149
431	0.148
432	0.151
433	0.171
434	0.172
435	0.173
436	0.176
437	0.163
438	0.172
439	0.199
440	0.183
441	0.185
442	0.192
443	0.18
444	0.211
445	0.201
446	0.201
447	0.192
448	0.229
449	0.226
450	0.225
451	0.234
452	0.234
453	0.234
454	0.233
455	0.233
456	0.257
457	0.253
458	0.258
459	0.26
460	0.256
461	0.259
462	0.258
463	0.258
464	0.286
465	0.294
466	0.294
467	0.293
468	0.311
469	0.319
470	0.298
471	0.302
472	0.31
473	0.308
474	0.31
475	0.309
476	0.318
477	0.326
478	0.335
479	0.329
480	0.349
481	0.342
482	0.348
483	0.362
484	0.365
485	0.354
486	0.378
487	0.359
488	0.367
489	0.387
490	0.385
491	0.412
492	0.4
493	0.39
494	0.389
495	0.404
496	0.4
497	0.399
498	0.405
499	0.404
500	0.404
501	0.39
502	0.41
503	0.402
504	0.415
505	0.399
506	0.383
507	0.4
508	0.4
509	0.415
510	0.414
511	0.403
512	0.406
513	0.396
514	0.38
515	0.39
516	0.39
517	0.389
518	0.39
519	0.389
520	0.389
521	0.394
522	0.393
523	0.393
524	0.405
525	0.402
526	0.39
527	0.406
528	0.401
529	0.402
530	0.398
531	0.424
532	0.385
533	0.406
534	0.399
535	0.4
536	0.4
537	0.4
538	0.394
539	0.407
540	0.394
541	0.421
542	0.392
543	0.392
544	0.392
545	0.392
546	0.392
547	0.412
548	0.406
549	0.397
550	0.397
